file_names,original_script,remarks,spoken_text,fluency
0c2889e1-0835-d186-31d2-2110f7f58a42_16.wav,என் தோழி பிரியா அழுகிறாள்.,,என் தோளி பிரியா அழுகிறாள் ,4
0c2889e1-0835-d186-31d2-2110f7f58a42_17.wav,அவளது பணப்பை தொலைந்ததால் அவள் சோகமாக இருக்கிறாள்.,,<UNC> பணப்பை தொலைத்தி அவள் சோகமாக இருக்கிறாள்,4
0c2889e1-0835-d186-31d2-2110f7f58a42_18.wav,நான் அவளிடம் பரிவுகொண்டு.,,நான் அவளிடம் பிரி கொண்டு ,4
0c2889e1-0835-d186-31d2-2110f7f58a42_19.wav,பிரியாவை பள்ளி உணவகத்திற்கு அழைத்து வந்தேன்.,,பிரவை பள்ளி உணவத்துக்கு அழைத்து வந்தேன் ,4
0c2889e1-0835-d186-31d2-2110f7f58a42_20.wav,"நான் அவளுக்கு ஒரு கிண்ணம் சூப்பும்,  ஒரு பால் பாக்கெட்டும் வாங்கிக் கொடுத்தேன்.",,நான் அவளுக்கு ஒரு கிண்ணம் குப்பன் குப்பமும் ஒரு பால் பட்டெயு கொத்தேன். ,3
0c2889e1-0835-d186-31d2-2110f7f58a42_21.wav,பிரியா என்னைக் கட்டிப்பிடித்து நன்றி சொன்னாள்.,,பிரிய என எனை கண்டுபிடித்து நன்றி சொன்னாள்,3
0c2889e1-0835-d186-31d2-2110f7f58a42_22.wav,என் தோழியை மகிழ்ச்சியாகப் பார்க்க விரும்புகிறேன்.,,என் தோழிய மகிள்ச்சியாக பார்க்க விரும்புகிறேன்,4
0c2889e1-0835-d186-31d2-2110f7f58a42_23.wav,நண்பர்களுக்கு உதவி தேவைப்பட்டால் உடனே உதவ வேண்டும் என்று என் பெற்றோர்கள் என்னிடம் கூறியிருக்கிறார்கள்.,,நண்பர்களு நண்பர்களுக்கு உதவி தேவதை பட்டா உன்னை உதவி வேண்டும் என்று என் பெற்றோர்கள் என்னிடம் கூறுகிறார்கள் ,3
0c2889e1-0835-d186-31d2-2110f7f58a42_24.wav,பிரியாவுக்கு உதவி செய்ததில் நான் பெருமிதம் கொள்கிறேன்.,,ப்ரியாவுக்கு உதவி செய்தால் நான் பெருமிதம் சொல்கிறே ,3
0f35daad-8c08-1764-71f4-70f13a8752d2_0.wav,குளக்கரையில் ஒரு பெரிய மரம் இருக்கிறது.,,மரம் இந்து ,3
0f35daad-8c08-1764-71f4-70f13a8752d2_1.wav,அந்த மரக்கிளையில் ஒரு கூடு இருக்கிறது.,,<UNC> ஒரு கூடு இருந்து ,3
0f35daad-8c08-1764-71f4-70f13a8752d2_2.wav,அந்தக்கூட்டில் ஒரு பறவை வாழ்கிறது.,,<UNC> ஒரு பரவே <UNC>,4
0f35daad-8c08-1764-71f4-70f13a8752d2_3.wav,குளத்தில் சில தாமரை இலைகள் மிதக்கின்றன.,,<UNC> தா தாமரே இ<UNC>கள் மிதன்று ,1
0f35daad-8c08-1764-71f4-70f13a8752d2_4.wav,ஒரு தவளை ஒரு தாமரை இலையின் மீது துள்ளிக்குதித்து அமர்ந்தது.,,ஒரு தவல் ஒரு த தம்ரெ இலைய மீந்து துள்ளி அமர்<UNC>,2
0f35daad-8c08-1764-71f4-70f13a8752d2_5.wav,அந்தத் தவளையும் பறவையும் ஏதோ பேசுகின்றன.,,அது <UNC> பறவைய <UNC>  பேசுகிறான் ,2
0f35daad-8c08-1764-71f4-70f13a8752d2_6.wav,பூங்காவின் ஓரத்தில் இருந்த குளத்தில்,,பூங்காவின் ஒரு பால் இருண்டு கூட்டில்,3
0f35daad-8c08-1764-71f4-70f13a8752d2_7.wav,ஒரு வாத்து நீந்திக்கொண்டிருந்தது.,,ஒரு வாத்து நீந்தந்து <UNC>,3
0f35daad-8c08-1764-71f4-70f13a8752d2_8.wav,"அந்த வாத்தைப் பார்த்த கலா, முத்து, முருகன் ஆகிய மூவரும்.",,ஆந்தே வாத்து பார்த்தார் கொல் முட்டு பூங்காக்கு ஆகிய முரும்,1
0f35daad-8c08-1764-71f4-70f13a8752d2_9.wav,"குளத்தைச் சுற்றி நின்று,",,குதத்தில் சுற்றி நன்று,4
0f35daad-8c08-1764-71f4-70f13a8752d2_10.wav,"'ஓ, வாத்து!' பாடலைப் பாடுகிறார்கள்.",,ஒரு வாத்து பா பாடம் பாடு பாடுகள்,2
0f35daad-8c08-1764-71f4-70f13a8752d2_11.wav,என் பெயர் தமிழரசன்.,,என் பெயர் தாமுரு ,4
0f35daad-8c08-1764-71f4-70f13a8752d2_12.wav,எனக்கு ஏழு வயது.,,<UNC>க்கு ஏழு வயது ,4
0f35daad-8c08-1764-71f4-70f13a8752d2_13.wav,நான் ரியா தொடக்கப் பள்ளியில் தொடக்கநிலை ஒன்று மாணவர்.,,நான் இரு இட்டு பள்ளியில் தாம்ர ஒன்று மரியில்,3
0f35daad-8c08-1764-71f4-70f13a8752d2_14.wav,"எனது பள்ளி எனது வீட்டுக்கு அருகில் இருப்பதால், பள்ளிக்கு நடந்தே வருகிறேன்.",,அத்து என்ன பள்ளி எது விளக்கு ஆறு இரவு பள்ளியில் நடது வந்தார்,3
0f35daad-8c08-1764-71f4-70f13a8752d2_15.wav,என் பள்ளி மிகப்பெரியது மற்றும் அழகானது.,,என் பள்ளியில் மிக பிடி முற்று அரகாது ,2
0f40fe16-4df1-78b3-402c-2194202162a6_6.wav,பூங்காவின் ஓரத்தில் இருந்த குளத்தில்,,பூங்காவின் ஓரத்தில் இருந்தது கொலத்தில் குளத்தில் ,3
0f40fe16-4df1-78b3-402c-2194202162a6_8.wav,"அந்த வாத்தைப் பார்த்த கலா, முத்து, முருகன் ஆகிய மூவரும்.",,அந்த வாத்தை பருந்து கலா முதிது முருகன் ஆகிய முவரும் ,2
0f40fe16-4df1-78b3-402c-2194202162a6_11.wav,என் பெயர் தமிழரசன்.,,என் பேர் தமில்மரசின் தமிழ்ழசன்,2
0f40fe16-4df1-78b3-402c-2194202162a6_12.wav,எனக்கு ஏழு வயது.,,எனக்கு ஏ ஏ ஏழு வாய்து,2
0f40fe16-4df1-78b3-402c-2194202162a6_13.wav,நான் ரியா தொடக்கப் பள்ளியில் தொடக்கநிலை ஒன்று மாணவர்.,,நான் ரியா தொடக்க பள்ளியில்லை தொடக்க நில் ஒன்ரு மாணவர் மாணவர் ,2
0f40fe16-4df1-78b3-402c-2194202162a6_16.wav,என் தோழி பிரியா அழுகிறாள்.,,என் தோளி பெரிய அம்மிர்கிறாள்,3
0f40fe16-4df1-78b3-402c-2194202162a6_17.wav,அவளது பணப்பை தொலைந்ததால் அவள் சோகமாக இருக்கிறாள்.,,அவள்து பணபை தொலைந் தொலைந்தது அவள் சோகமாக சோகமாக இருக்கிறாள்,2
0f40fe16-4df1-78b3-402c-2194202162a6_18.wav,நான் அவளிடம் பரிவுகொண்டு.,,நான் அவளுடம் பரியகொண்டு,2
0f40fe16-4df1-78b3-402c-2194202162a6_19.wav,பிரியாவை பள்ளி உணவகத்திற்கு அழைத்து வந்தேன்.,,பிரியன் பிரியவை பள்ளி ஒனாக உணவகத்திற்கு அழைத்து வந்தான் ,2
1333d8f1-c310-669d-e212-75d73da71ce5_0.wav,குளக்கரையில் ஒரு பெரிய மரம் இருக்கிறது.,,குளக்கரையில் அரு பெரிய மரம் இருக்கிறடு ,3
1333d8f1-c310-669d-e212-75d73da71ce5_1.wav,அந்த மரக்கிளையில் ஒரு கூடு இருக்கிறது.,,அந்த மர மரக்கி மரக்கிளையில் ஒரு கோடி இருக்கிறது ,3
1333d8f1-c310-669d-e212-75d73da71ce5_2.wav,அந்தக்கூட்டில் ஒரு பறவை வாழ்கிறது.,,அந்த காடுல ஒரு பறவை இருக்கிறது ,4
1333d8f1-c310-669d-e212-75d73da71ce5_3.wav,குளத்தில் சில தாமரை இலைகள் மிதக்கின்றன.,,குளத்தில் சில தா தாமிரை இருக்கி இலைக்கள் மிதக்கி மிதக்கிறது ,3
1333d8f1-c310-669d-e212-75d73da71ce5_4.wav,ஒரு தவளை ஒரு தாமரை இலையின் மீது துள்ளிக்குதித்து அமர்ந்தது.,, தவளை ஒரு தாமிரை இலையில் இலையின் மீதி <UNC>கத்தில் அமர் அமர்ந்தது,2
1333d8f1-c310-669d-e212-75d73da71ce5_5.wav,அந்தத் தவளையும் பறவையும் ஏதோ பேசுகின்றன.,,அந்த தவளையு தவளையும் ,3
1333d8f1-c310-669d-e212-75d73da71ce5_6.wav,பூங்காவின் ஓரத்தில் இருந்த குளத்தில்,,பூங்காவில் பூங்காவின் ஒருத்தில் இருத்தி இருந்த குளத்தில்,3
1333d8f1-c310-669d-e212-75d73da71ce5_7.wav,ஒரு வாத்து நீந்திக்கொண்டிருந்தது.,,ஒரு வாத்து நீந்துகத ,4
1333d8f1-c310-669d-e212-75d73da71ce5_8.wav,"அந்த வாத்தைப் பார்த்த கலா, முத்து, முருகன் ஆகிய மூவரும்.",,அந்த வாத்தைபப் வாத்தை பார்த்தது காலை முத்தது முருகன் முருகன ஆ ஆகிய மூவ முரவு,2
1333d8f1-c310-669d-e212-75d73da71ce5_9.wav,"குளத்தைச் சுற்றி நின்று,",,கூளத்தை சிறி நீன்று ,2
1333d8f1-c310-669d-e212-75d73da71ce5_10.wav,"'ஓ, வாத்து!' பாடலைப் பாடுகிறார்கள்.",,ஓ வா வாந்து பதலை பாடுகிறது ,3
1333d8f1-c310-669d-e212-75d73da71ce5_11.wav,என் பெயர் தமிழரசன்.,,என் பேர் தமில்சன் ,4
1333d8f1-c310-669d-e212-75d73da71ce5_12.wav,எனக்கு ஏழு வயது.,,எனக்கு எனக்கு ஏழு வயது ,3
1333d8f1-c310-669d-e212-75d73da71ce5_13.wav,நான் ரியா தொடக்கப் பள்ளியில் தொடக்கநிலை ஒன்று மாணவர்.,,நான் ரியா <UNC> தகப பாலியல் <UNC> ஒரு மான மாணவர் ,1
1333d8f1-c310-669d-e212-75d73da71ce5_14.wav,"எனது பள்ளி எனது வீட்டுக்கு அருகில் இருப்பதால், பள்ளிக்கு நடந்தே வருகிறேன்.",,<UNC> பள்ளி <UNC> அருகி அருகில் இருப்படல் பள்ளிக்கு நடந்தை வன்றி<UNC> ,1
1333d8f1-c310-669d-e212-75d73da71ce5_15.wav,என் பள்ளி மிகப்பெரியது மற்றும் அழகானது.,,என் பள்ளி மிக மிகப்பெரிய பர்ரும் அழகானடு,2
1333d8f1-c310-669d-e212-75d73da71ce5_16.wav,என் தோழி பிரியா அழுகிறாள்.,,என் தோலி பாரவி பாரைய்யா அழுகிறாள்,3
1333d8f1-c310-669d-e212-75d73da71ce5_17.wav,அவளது பணப்பை தொலைந்ததால் அவள் சோகமாக இருக்கிறாள்.,,அவடு பணப் பணப்பை தொலைந்தாள் அவள் அவள் சோகமாக இருக்கிறாள்,3
1333d8f1-c310-669d-e212-75d73da71ce5_18.wav,நான் அவளிடம் பரிவுகொண்டு.,,நான் அவ்வளுக்கு பரிவு கெண்டு,3
1333d8f1-c310-669d-e212-75d73da71ce5_19.wav,பிரியாவை பள்ளி உணவகத்திற்கு அழைத்து வந்தேன்.,,பிரியவை பள்ளி உண்வகத்தில் திற்கு அழை அழைத்து வந்<UNC>,3
1333d8f1-c310-669d-e212-75d73da71ce5_20.wav,"நான் அவளுக்கு ஒரு கிண்ணம் சூப்பும்,  ஒரு பால் பாக்கெட்டும் வாங்கிக் கொடுத்தேன்.",,நான் <UNC> க்கு ஒரு கிண்ணம் சாப்பிரம் ஒரு பால் பாக் பாககெட்டும் வங்கி வாங்கிக கொடுத்தேன்,2
1c0c9e3a-6c43-aa15-bb52-c9d605fd5359_0.wav,குளக்கரையில் ஒரு பெரிய மரம் இருக்கிறது.,,ஒரு பெரிய மரம் இரு இருக்கின்றன,3
1c0c9e3a-6c43-aa15-bb52-c9d605fd5359_1.wav,அந்த மரக்கிளையில் ஒரு கூடு இருக்கிறது.,,இது ஒரு கூடை இருந்தன,3
1c0c9e3a-6c43-aa15-bb52-c9d605fd5359_4.wav,ஒரு தவளை ஒரு தாமரை இலையின் மீது துள்ளிக்குதித்து அமர்ந்தது.,,தவளை ஒரு தாமரை ,4
1c0c9e3a-6c43-aa15-bb52-c9d605fd5359_5.wav,அந்தத் தவளையும் பறவையும் ஏதோ பேசுகின்றன.,,இத தவளையும் பறவையும் ,4
1c0c9e3a-6c43-aa15-bb52-c9d605fd5359_6.wav,பூங்காவின் ஓரத்தில் இருந்த குளத்தில்,,"ஒரு வத்து, இட வத்தை பார்த்து கால் முடலில்",3
1c0c9e3a-6c43-aa15-bb52-c9d605fd5359_10.wav,"'ஓ, வாத்து!' பாடலைப் பாடுகிறார்கள்.",,ஓ வாத்து பள்ள ,4
1c0c9e3a-6c43-aa15-bb52-c9d605fd5359_11.wav,என் பெயர் தமிழரசன்.,,என் பெயர் தமில்சிரன்,3
1c0c9e3a-6c43-aa15-bb52-c9d605fd5359_12.wav,எனக்கு ஏழு வயது.,,எனக்கு ஏழு வயது ,4
1c0c9e3a-6c43-aa15-bb52-c9d605fd5359_16.wav,என் தோழி பிரியா அழுகிறாள்.,,எனக்கு தின் பிரிய அழு அழுதது,3
1c0c9e3a-6c43-aa15-bb52-c9d605fd5359_20.wav,"நான் அவளுக்கு ஒரு கிண்ணம் சூப்பும்,  ஒரு பால் பாக்கெட்டும் வாங்கிக் கொடுத்தேன்.",,என்ன அவளை ஒரு கன்னம் ஒன்று பள்ள வாங்கிகடு ,3
1c0c9e3a-6c43-aa15-bb52-c9d605fd5359_21.wav,பிரியா என்னைக் கட்டிப்பிடித்து நன்றி சொன்னாள்.,,ப்ரியா எனக்கு பிடித்த நன்றி சொன்னாள் ,4
1c0c9e3a-6c43-aa15-bb52-c9d605fd5359_22.wav,என் தோழியை மகிழ்ச்சியாகப் பார்க்க விரும்புகிறேன்.,,எனக்கு தமிழை மகிள் ச்சி ப்ரியா விரும்புறேன்,4
1c0c9e3a-6c43-aa15-bb52-c9d605fd5359_23.wav,நண்பர்களுக்கு உதவி தேவைப்பட்டால் உடனே உதவ வேண்டும் என்று என் பெற்றோர்கள் என்னிடம் கூறியிருக்கிறார்கள்.,,நண்பர்குடன் உடளை உடவி கேட்டார்கள் உடலை உடவி வென எனக்கு ஒன்று என் பெறோர்கள் ஒன்னும் சொன்றார்கள்,3
243dd38a-63f5-ebc6-1591-3c55c05ddb64_0.wav,குளக்கரையில் ஒரு பெரிய மரம் இருக்கிறது.,,இரதும் பெரிய மரம் இருந்துதில்,3
243dd38a-63f5-ebc6-1591-3c55c05ddb64_1.wav,அந்த மரக்கிளையில் ஒரு கூடு இருக்கிறது.,,ஆ ன் து அந்து அது மரங்கலி இருத்தில் இருக்கின்தின் ,1
243dd38a-63f5-ebc6-1591-3c55c05ddb64_3.wav,குளத்தில் சில தாமரை இலைகள் மிதக்கின்றன.,,சிலி தாமரம்த்தில் ஆ நட்டல் மீகுளிரும் நா நதி ,1
243dd38a-63f5-ebc6-1591-3c55c05ddb64_6.wav,பூங்காவின் ஓரத்தில் இருந்த குளத்தில்,,பூ பூழவி இரு ழ இருவத்து <UNC> ,1
243dd38a-63f5-ebc6-1591-3c55c05ddb64_7.wav,ஒரு வாத்து நீந்திக்கொண்டிருந்தது.,,வாத்தில்க்கு நா இன்று தொ<UNC>,1
243dd38a-63f5-ebc6-1591-3c55c05ddb64_8.wav,"அந்த வாத்தைப் பார்த்த கலா, முத்து, முருகன் ஆகிய மூவரும்.",,ஆந்து வாத்து தா பா இந் பார்த்து கால் பூநக்கில் ஆகாண ,1
243dd38a-63f5-ebc6-1591-3c55c05ddb64_9.wav,"குளத்தைச் சுற்றி நின்று,",,க குனில் நா நீ ,1
2965acd6-ef22-e6cf-ba86-8527052f5844_0.wav,குளக்கரையில் ஒரு பெரிய மரம் இருக்கிறது.,,கரையில் ஒரு பெரிய மரம் இறுக்கிறது,4
2965acd6-ef22-e6cf-ba86-8527052f5844_1.wav,அந்த மரக்கிளையில் ஒரு கூடு இருக்கிறது.,,அந்த மரக்கிளை ஒரு கூடு இருக்கிறது ,4
